,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission
243,Lexus,2007.0,Foreign Used,258585.0,3500.0,Petrol,Automatic
244,Toyota,2005.0,Foreign Used,260730.0,4700.0,Petrol,Automatic
245,Lexus,2009.0,Foreign Used,246462.0,3500.0,Petrol,Automatic
246,Mercedes-Benz,2014.0,Nigerian Used,51111.0,2000.0,Petrol,Automatic
247,Mercedes-Benz,2017.0,Nigerian Used,33853.0,3000.0,Petrol,Automatic
248,Toyota,2015.0,Foreign Used,150157.0,2700.0,Petrol,Automatic
249,Lexus,2007.0,Foreign Used,175836.0,3500.0,Petrol,Automatic
250,Toyota,2010.0,Foreign Used,214972.0,2500.0,Petrol,Automatic
251,Mercedes-Benz,2012.0,Foreign Used,165585.0,3500.0,Petrol,Automatic
252,Land Rover,2006.0,Nigerian Used,137818.0,4000.0,Petrol,Automatic
253,Toyota,2017.0,Nigerian Used,101979.0,3500.0,Petrol,Automatic
254,Lexus,2001.0,Foreign Used,199731.0,3000.0,Petrol,Automatic
255,Lexus,2007.0,Foreign Used,110621.0,2500.0,Petrol,Automatic
256,GMC,2008.0,Nigerian Used,167643.0,3600.0,Petrol,Automatic
257,Mercedes-Benz,2015.0,Foreign Used,111697.0,3200.0,Petrol,Automatic
258,Lexus,2005.0,Foreign Used,184460.0,3000.0,Petrol,Automatic
259,Lexus,2007.0,Nigerian Used,156579.0,3500.0,Petrol,Automatic
260,Toyota,2009.0,Foreign Used,176951.0,2700.0,Petrol,Automatic
261,Toyota,2011.0,Foreign Used,211357.0,2500.0,Petrol,Automatic
262,Acura,2010.0,Foreign Used,147282.0,3700.0,Petrol,Automatic
263,Lexus,2010.0,Nigerian Used,203171.0,4600.0,Petrol,Automatic
264,Mercedes-Benz,2014.0,Foreign Used,33820.0,3500.0,Petrol,Automatic
265,Lexus,2007.0,Foreign Used,158117.0,3500.0,Petrol,Automatic
266,Land Rover,2016.0,Foreign Used,102429.0,3500.0,Petrol,Automatic
267,Toyota,2009.0,Foreign Used,127674.0,2700.0,Petrol,Automatic
268,Mercedes-Benz,2009.0,Nigerian Used,100337.0,4600.0,Petrol,Automatic
269,Toyota,2014.0,Foreign Used,40470.0,4000.0,Petrol,Automatic
270,Toyota,2015.0,Nigerian Used,37591.0,3500.0,Petrol,Automatic
271,Land Rover,2012.0,Nigerian Used,22281.0,4900.0,Petrol,Automatic
272,Toyota,2011.0,Foreign Used,185047.0,2500.0,Petrol,Automatic
273,Toyota,2012.0,Foreign Used,170038.0,2400.0,Petrol,Automatic
274,Mercedes-Benz,2006.0,Foreign Used,239529.0,5000.0,Petrol,Automatic
275,Lexus,2007.0,Foreign Used,258585.0,3500.0,Petrol,Automatic
276,Mercedes-Benz,2014.0,Foreign Used,83189.0,2000.0,Petrol,Automatic
277,Toyota,2018.0,Foreign Used,106543.0,2800.0,Petrol,Automatic
278,Toyota,2008.0,Foreign Used,86802.0,2400.0,Petrol,Automatic
280,Toyota,2013.0,Foreign Used,195785.0,3500.0,Petrol,Automatic
281,Toyota,2008.0,Nigerian Used,155618.0,2400.0,Petrol,Automatic
282,Mercedes-Benz,2016.0,Foreign Used,12053.0,3500.0,Petrol,Automatic
283,Lexus,2017.0,Foreign Used,26250.0,3500.0,Petrol,Automatic
284,Lexus,2010.0,Foreign Used,193624.0,3500.0,Petrol,Automatic
285,Lexus,2005.0,Foreign Used,124007.0,3300.0,Petrol,Automatic
286,Toyota,2015.0,Foreign Used,261250.0,2500.0,Petrol,Automatic
287,Mercedes-Benz,2014.0,Nigerian Used,51111.0,2000.0,Petrol,Automatic
288,Mercedes-Benz,2018.0,Foreign Used,115896.0,3500.0,Petrol,Automatic
289,Mercedes-Benz,2004.0,Foreign Used,204436.0,2600.0,Petrol,Automatic
290,Mercedes-Benz,2012.0,Foreign Used,280554.0,3500.0,Petrol,Automatic
291,Toyota,2012.0,Foreign Used,373365.0,2500.0,Petrol,Automatic
292,Mercedes-Benz,2018.0,Foreign Used,56263.0,3000.0,Petrol,Automatic
293,Mercedes-Benz,2007.0,Nigerian Used,110228.0,4500.0,Petrol,Automatic
294,Toyota,2009.0,Foreign Used,104917.0,2400.0,Petrol,Automatic
295,Mercedes-Benz,2013.0,Foreign Used,225174.0,3500.0,Petrol,Automatic
296,Lexus,2007.0,Foreign Used,203757.0,3500.0,Petrol,Automatic
297,Lexus,2005.0,Foreign Used,123282.0,3000.0,Petrol,Automatic
